PRO_COM	year	patents_italy	patents_austria	patents_together_amt_italy	patents_verzeichnisse	patents_together_verz_italy
14018	1864	1	0	1	NA	1
15006	1902	1	0	1	NA	1
15021	1889	1	0	1	NA	1
15023	1911	1	0	1	NA	1
15027	1896	0	1	1	NA	0
15034	1911	1	0	1	NA	1
15043	1902	1	0	1	NA	1
15048	1911	2	0	2	NA	2
15054	1892	0	1	1	NA	0
15054	1902	1	0	1	NA	1
15059	1862	1	0	1	NA	1
15062	1902	1	0	1	NA	1
15079	1902	1	0	1	NA	1
15079	1911	1	0	1	NA	1
15093	1911	1	0	1	NA	1
15100	1902	1	0	1	NA	1
15100	1911	2	0	2	NA	2
15118	1889	4	0	4	NA	4
15118	1902	2	0	2	NA	2
15118	1911	11	0	11	NA	11
15126	1891	0	1	1	NA	0
15129	1902	1	0	1	NA	1
15140	1902	1	0	1	NA	1
15140	1911	1	0	1	NA	1
15146	1847	0	1	1	NA	0
15146	1855	3	0	3	14	17
15146	1856	6	0	6	16	22
15146	1857	3	0	3	30	33
15146	1858	5	0	5	21	26
15146	1859	6	0	6	9	15
15146	1860	17	0	17	1	18
15146	1861	19	0	19	NA	19
15146	1862	18	0	18	NA	18
15146	1863	19	0	19	NA	19
15146	1864	15	0	15	4	19
15146	1865	14	0	14	NA	14
15146	1866	9	0	9	NA	9
15146	1867	23	0	23	NA	23
15146	1868	0	1	1	1	1
15146	1871	0	1	1	NA	0
15146	1872	0	3	3	NA	0
15146	1873	0	3	3	NA	0
15146	1875	0	1	1	NA	0
15146	1878	42	2	44	NA	42
15146	1879	0	2	2	NA	0
15146	1880	0	5	5	NA	0
15146	1881	0	5	5	NA	0
15146	1882	0	4	4	NA	0
15146	1883	0	2	2	NA	0
15146	1884	0	2	2	NA	0
15146	1885	0	1	1	NA	0
15146	1886	0	3	3	NA	0
15146	1887	0	3	3	NA	0
15146	1888	0	5	5	NA	0
15146	1889	116	12	128	NA	116
15146	1890	0	4	4	NA	0
15146	1891	0	3	3	NA	0
15146	1892	0	6	6	NA	0
15146	1893	0	11	11	NA	0
15146	1894	0	12	12	NA	0
15146	1895	0	10	10	NA	0
15146	1896	0	16	16	NA	0
15146	1897	0	10	10	NA	0
15146	1898	0	9	9	NA	0
15146	1899	0	2	2	NA	0
15146	1902	227	0	227	NA	227
15146	1911	452	0	452	NA	452
15149	1855	1	0	1	NA	1
15149	1860	2	0	2	NA	2
15149	1889	2	0	2	NA	2
15149	1891	0	1	1	NA	0
15149	1894	0	2	2	NA	0
15149	1902	4	0	4	NA	4
15149	1911	12	0	12	NA	12
15151	1911	1	0	1	NA	1
15182	1911	2	0	2	NA	2
15198	1902	3	0	3	NA	3
15201	1911	1	0	1	NA	1
15204	1911	1	0	1	NA	1
15209	1911	6	0	6	NA	6
15210	1896	0	1	1	NA	0
15210	1902	1	0	1	NA	1
15223	1892	0	1	1	NA	0
15241	1911	1	0	1	NA	1
16004	1889	0	1	1	NA	0
16004	1895	0	1	1	NA	0
16008	1902	1	0	1	NA	1
16024	1855	2	0	2	NA	2
16024	1857	1	0	1	1	2
16024	1858	1	0	1	NA	1
16024	1859	1	0	1	1	2
16024	1860	1	0	1	NA	1
16024	1862	1	0	1	NA	1
16024	1863	4	0	4	NA	4
16024	1866	0	1	1	1	1
16024	1867	1	0	1	NA	1
16024	1872	0	1	1	NA	0
16024	1878	3	0	3	NA	3
16024	1891	0	1	1	NA	0
16024	1902	7	0	7	NA	7
16024	1911	3	0	3	NA	3
16035	1878	1	0	1	NA	1
16077	1860	1	0	1	NA	1
16133	1867	1	0	1	NA	1
16168	1902	1	0	1	NA	1
16170	1911	1	0	1	NA	1
16192	1911	1	0	1	NA	1
16218	1865	1	0	1	NA	1
16219	1902	1	0	1	NA	1
17003	1855	2	0	2	NA	2
17003	1856	1	0	1	NA	1
17003	1859	1	0	1	NA	1
17020	1902	1	0	1	NA	1
17029	1864	1	0	1	NA	1
17029	1867	2	0	2	NA	2
17029	1878	3	0	3	NA	3
17029	1888	0	1	1	NA	0
17029	1889	3	0	3	NA	3
17029	1902	11	0	11	NA	11
17029	1911	21	0	21	NA	21
17067	1889	1	0	1	NA	1
17106	1902	2	0	2	NA	2
17133	1867	1	0	1	NA	1
17133	1889	2	0	2	NA	2
17143	1889	1	0	1	NA	1
17161	1889	1	0	1	NA	1
17168	1911	2	0	2	NA	2
17173	1878	1	0	1	NA	1
17173	1911	1	0	1	NA	1
17187	1911	1	0	1	NA	1
17199	1889	1	0	1	NA	1
18013	1889	1	0	1	NA	1
18027	1889	1	0	1	NA	1
18032	1865	1	0	1	NA	1
18073	1902	1	0	1	NA	1
18110	1861	1	0	1	NA	1
18110	1862	1	0	1	NA	1
18110	1865	1	0	1	NA	1
18110	1867	1	0	1	NA	1
18110	1878	1	0	1	NA	1
18110	1889	3	0	3	NA	3
18110	1896	0	1	1	NA	0
18110	1898	0	1	1	NA	0
18110	1902	2	0	2	NA	2
18110	1911	5	0	5	NA	5
18112	1911	1	0	1	NA	1
18139	1878	1	0	1	NA	1
18168	1911	1	0	1	NA	1
18176	1902	1	0	1	NA	1
18176	1911	1	0	1	NA	1
18177	1878	1	0	1	NA	1
18177	1911	1	0	1	NA	1
18182	1867	1	0	1	NA	1
18182	1889	1	0	1	NA	1
18182	1902	1	0	1	NA	1
18182	1911	2	0	2	NA	2
19025	1896	0	1	1	NA	0
19035	1878	1	0	1	NA	1
19035	1902	1	0	1	NA	1
19035	1911	1	0	1	NA	1
19036	1865	1	0	1	NA	1
19036	1869	0	1	1	NA	0
19036	1878	1	0	1	NA	1
19036	1879	0	1	1	NA	0
19036	1889	2	0	2	NA	2
19036	1902	4	0	4	NA	4
19036	1911	3	0	3	NA	3
19054	1911	1	0	1	NA	1
19071	1889	2	0	2	NA	2
19076	1911	1	0	1	NA	1
19098	1902	2	0	2	NA	2
19112	1911	1	0	1	NA	1
20030	1859	1	0	1	1	2
20030	1889	3	0	3	NA	3
20030	1892	0	1	1	NA	0
20030	1896	0	1	1	NA	0
20030	1898	0	1	1	NA	0
20030	1902	6	0	6	NA	6
20030	1911	4	0	4	NA	4
20031	1902	2	0	2	NA	2
20038	1889	2	0	2	NA	2
20038	1911	1	0	1	NA	1
20052	1856	1	0	1	NA	1
20065	1897	0	1	1	NA	0
20065	1911	2	0	2	NA	2
21008	1864	0	1	1	1	1
21008	1871	0	2	2	NA	0
21008	1877	0	2	2	NA	0
21008	1878	0	1	1	NA	0
21008	1888	0	3	3	NA	0
21008	1889	0	3	3	NA	0
21008	1891	0	1	1	NA	0
21008	1895	0	1	1	NA	0
21008	1897	0	1	1	NA	0
21008	1898	0	1	1	NA	0
21011	1880	0	2	2	NA	0
21013	1885	0	1	1	NA	0
21020	1888	0	1	1	NA	0
21051	1879	0	1	1	NA	0
21051	1880	0	2	2	NA	0
21051	1881	0	1	1	NA	0
21051	1882	0	1	1	NA	0
21051	1889	0	1	1	NA	0
21051	1893	0	1	1	NA	0
21051	1894	0	4	4	NA	0
21051	1895	0	1	1	NA	0
21051	1896	0	1	1	NA	0
21051	1897	0	1	1	NA	0
21051	1898	0	1	1	NA	0
21051	1899	0	1	1	NA	0
21065	1894	0	1	1	NA	0
22014	1872	0	1	1	NA	0
22014	1880	0	1	1	NA	0
22050	1895	0	1	1	NA	0
22064	1879	0	1	1	NA	0
22153	1886	0	1	1	NA	0
22153	1893	0	1	1	NA	0
22205	1867	0	2	2	2	2
22205	1876	0	1	1	NA	0
22205	1882	0	1	1	NA	0
22205	1888	0	2	2	NA	0
22205	1892	0	1	1	NA	0
22205	1894	0	1	1	NA	0
22205	1897	0	1	1	NA	0
23006	1911	1	0	1	NA	1
23025	1911	1	0	1	NA	1
23027	1911	1	0	1	NA	1
23034	1874	0	1	1	NA	0
23051	1911	1	0	1	NA	1
23064	1911	1	0	1	NA	1
23091	1870	0	1	1	NA	0
23091	1878	4	0	4	NA	4
23091	1880	0	1	1	NA	0
23091	1883	0	1	1	NA	0
23091	1886	0	1	1	NA	0
23091	1889	3	0	3	NA	3
23091	1891	0	1	1	NA	0
23091	1895	0	1	1	NA	0
23091	1897	0	2	2	NA	0
23091	1902	7	0	7	NA	7
23091	1911	9	0	9	NA	9
23095	1902	1	0	1	NA	1
23098	1889	2	0	2	NA	2
23098	1902	1	0	1	NA	1
23098	1911	2	0	2	NA	2
24004	1878	1	0	1	NA	1
24008	1911	1	0	1	NA	1
24012	1911	1	0	1	NA	1
24014	1902	1	0	1	NA	1
24014	1911	3	0	3	NA	3
24052	1911	3	0	3	NA	3
24055	1889	1	0	1	NA	1
24055	1911	1	0	1	NA	1
24057	1898	0	1	1	NA	0
24057	1911	1	0	1	NA	1
24060	1883	0	1	1	NA	0
24088	1911	1	0	1	NA	1
24100	1891	0	1	1	NA	0
24100	1896	0	1	1	NA	0
24100	1897	0	1	1	NA	0
24100	1898	0	1	1	NA	0
24100	1902	1	0	1	NA	1
24116	1858	1	0	1	1	2
24116	1867	1	0	1	NA	1
24116	1889	1	0	1	NA	1
24116	1902	6	0	6	NA	6
24116	1911	6	0	6	NA	6
24118	1889	1	0	1	NA	1
24118	1891	0	1	1	NA	0
25001	1911	1	0	1	NA	1
25005	1892	0	1	1	NA	0
25006	1889	1	0	1	NA	1
25015	1911	1	0	1	NA	1
26012	1902	1	0	1	NA	1
26021	1882	0	1	1	NA	0
26021	1888	0	1	1	NA	0
26021	1889	2	0	2	NA	2
26026	1889	1	0	1	NA	1
26030	1902	1	0	1	NA	1
26086	1865	0	1	1	1	1
26086	1867	1	0	1	NA	1
26086	1873	0	1	1	NA	0
26086	1884	0	1	1	NA	0
26086	1889	1	0	1	NA	1
26086	1891	0	1	1	NA	0
26086	1911	2	0	2	NA	2
26092	1889	0	1	1	NA	0
27012	1889	1	0	1	NA	1
27016	1911	4	0	4	NA	4
27023	1864	0	1	1	NA	0
27023	1886	0	1	1	NA	0
27024	1888	0	1	1	NA	0
27042	1859	0	1	1	3	3
27042	1861	2	2	4	2	4
27042	1864	0	2	2	11	11
27042	1865	0	1	1	4	4
27042	1867	10	0	10	NA	10
27042	1873	0	1	1	NA	0
27042	1874	0	2	2	NA	0
27042	1878	3	1	4	NA	3
27042	1880	0	1	1	NA	0
27042	1881	0	1	1	NA	0
27042	1888	0	1	1	NA	0
27042	1889	4	1	5	NA	4
27042	1890	0	4	4	NA	0
27042	1891	0	1	1	NA	0
27042	1892	0	1	1	NA	0
27042	1895	0	1	1	NA	0
27042	1896	0	1	1	NA	0
27042	1897	0	1	1	NA	0
27042	1898	0	1	1	NA	0
27042	1902	13	0	13	NA	13
27042	1911	26	0	26	NA	26
28017	1902	1	0	1	NA	1
28037	1902	2	0	2	NA	2
28045	1889	1	0	1	NA	1
28045	1894	0	1	1	NA	0
28045	1895	0	1	1	NA	0
28046	1869	0	1	1	NA	0
28052	1911	1	0	1	NA	1
28054	1891	0	1	1	NA	0
28056	1911	1	0	1	NA	1
28060	1866	1	0	1	1	2
28060	1867	1	1	2	1	2
28060	1888	0	1	1	NA	0
28060	1889	5	1	6	NA	5
28060	1893	0	1	1	NA	0
28060	1897	0	1	1	NA	0
28060	1898	0	3	3	NA	0
28060	1899	0	1	1	NA	0
28060	1902	19	0	19	NA	19
28060	1911	9	0	9	NA	9
28063	1902	1	0	1	NA	1
28068	1911	1	0	1	NA	1
28099	1902	1	0	1	NA	1
29029	1911	2	0	2	NA	2
29033	1911	1	0	1	NA	1
30023	1874	0	1	1	NA	0
30023	1881	0	1	1	NA	0
30023	1882	0	2	2	NA	0
30023	1884	0	1	1	NA	0
30023	1888	0	1	1	NA	0
30027	1902	1	0	1	NA	1
30027	1911	1	0	1	NA	1
30037	1902	2	0	2	NA	2
30049	1866	0	1	1	NA	0
30049	1892	0	1	1	NA	0
30049	1893	0	1	1	NA	0
30049	1894	0	1	1	NA	0
30054	1879	0	2	2	NA	0
30117	1885	0	1	1	NA	0
30129	1889	3	0	3	NA	3
30129	1892	0	1	1	NA	0
30129	1902	3	0	3	NA	3
30129	1911	2	0	2	NA	2
31007	1875	0	1	1	NA	0
31007	1877	0	1	1	NA	0
31007	1879	0	1	1	NA	0
31007	1882	0	2	2	NA	0
31007	1883	0	1	1	NA	0
