PRO_COM;COMUNE;year;n
50036;Terricciola;1884;1
51011;Castiglion Fibocchi;1896;1
54022;Gualdo Cattaneo;1897;1
54028;Massa Martana;1881;1
54028;Massa Martana;1892;1
54028;Massa Martana;1896;1
54028;Massa Martana;1897;1
55032;Terni;1893;1
58032;Civitavecchia;1896;1
58091;Roma;1865;1
58091;Roma;1871;1
58091;Roma;1872;2
58091;Roma;1874;1
58091;Roma;1875;1
58091;Roma;1876;1
58091;Roma;1880;3
58091;Roma;1881;3
58091;Roma;1882;2
58091;Roma;1884;3
58091;Roma;1885;4
58091;Roma;1886;3
58091;Roma;1887;3
58091;Roma;1888;3
58091;Roma;1889;2
58091;Roma;1890;3
58091;Roma;1891;4
58091;Roma;1892;4
58091;Roma;1893;12
58091;Roma;1894;9
58091;Roma;1895;5
58091;Roma;1896;10
58091;Roma;1897;12
