year;comune_code;n;location;country;lat;long;COMUNE;PRO_COM
1878;54864;2;Orvieto;NA;42,7185068000000;12,11074460000000;Orvieto;55023
1878;58091;17;Roma;NA;41,8967068000000;12,48220250000000;Roma;58091
1878;61849;2;Isola del Liri;NA;41,6771631000000;13,57489300000000;Isola del Liri;60043
1878;63049;15;Napoli;NA;40,8517983000000;14,26812000000000;Napoli;63049
1878;63071;1;Sant'Agnello;NA;40,6296471000000;14,39511770000000;Sant'Agnello;63071
1878;63083;1;Torre Annunziata;NA;40,7492018000000;14,46465400000000;Torre Annunziata;63083
1878;63801;1;Barra;NA;-11,0891794000000;-43,14145120000000;NA;NA
1878;66098;1;Solmona;NA;45,4763242000000;4,38328700000000;NA;NA
1878;69022;1;Chieti;NA;42,3479367000000;14,16364120000000;Chieti;69022
1878;71028;1;Lucera;NA;41,5087874000000;15,33408330000000;Lucera;71028
1878;75841;1;Taranto;NA;40,4622052000000;17,26891650000000;Taranto;73027
1878;76036;1;Genzano;NA;41,7073216000000;12,68872760000000;Genzano di Roma;58043
1878;76063;1;Potenza;NA;40,6377715000000;15,80550200000000;Potenza;76063
1878;82051;1;Montemaggiore Belsito;NA;37,8483496000000;13,76231550000000;Montemaggiore Belsito;82051
1878;82053;5;Palermo;NA;38,1156864000000;13,36146350000000;Palermo;82053
1878;83048;2;Messina;NA;38,1937342000000;15,55420880000000;Messina;83048
1878;84012;1;Casteltermini;NA;37,5409134000000;13,64330920000000;Casteltermini;84012
1878;84029;1;Racalmuto;NA;37,4088992000000;13,73270020000000;Racalmuto;84029
1878;85004;1;Caltanissetta;NA;37,4900647000000;14,06315760000000;Caltanissetta;85004
1878;85006;1;Delia;NA;39,2405520000000;-95,96693500000001;NA;NA
1878;92026;1;Cagliari;NA;39,2237323000000;9,12171940000000;Cagliari;92009
1889;NA;1;Acireale (Catania);NA;37,6078154000000;15,16669670000000;Acireale;87004
1889;NA;1;Alba (Cuneo);NA;44,7009526000000;8,03534880000000;Alba;4003
1889;NA;1;Albuquerque - Nuovo Messico;S. U. d'America;35,0843859000000;-106,65042200000001;NA;NA
1889;NA;1;Alessandria;NA;44,9072727000000;8,61167960000000;Alessandria;6003
1889;NA;1;Alpignano (Torino);NA;45,0928877000000;7,52364220000000;Alpignano;1008
1889;NA;2;Altavilla Irpina (Avellino);NA;41,0050450000000;14,77938310000000;Altavilla Irpina;64002
1889;NA;1;Altena - Westphalia;Germania;51,3015239000000;7,67143870000000;NA;NA
1889;NA;1;Amburgo;Germania;53,5488282000000;9,98717030000000;NA;NA
1889;NA;1;Amsterdam;Olanda;52,3675734000000;4,90413890000000;NA;NA
1889;NA;1;Ancona;NA;43,6071395000000;13,51017410000000;Ancona;42002
1889;NA;1;Arbons;Svizzera;52,6220480000000;1,26218500000000;NA;NA
