year;location;COMUNE;lat;long;PRO_COM;comune_code;patents_austria;patents_italy;patents_together
1878;Arezzo;Arezzo;43,4633082000000;11,87962150000000;51002;51002;0;1;1
1878;Siena;Siena;43,3184741000000;11,33058120000000;52032;52032;0;4;4
1878;Norcia;Norcia;42,7919230000000;13,09477970000000;54035;54035;0;1;1
1878;Orvieto;Orvieto;42,7185068000000;12,11074460000000;55023;54864;0;2;2
1878;Roma;Roma;41,8967068000000;12,48220250000000;58091;58091;0;17;17
1878;Isola del Liri;Isola del Liri;41,6771631000000;13,57489300000000;60043;61849;0;2;2
1878;Napoli;Napoli;40,8517983000000;14,26812000000000;63049;63049;0;15;15
1878;Sant'Agnello;Sant'Agnello;40,6296471000000;14,39511770000000;63071;63071;0;1;1
1878;Torre Annunziata;Torre Annunziata;40,7492018000000;14,46465400000000;63083;63083;0;1;1
1878;Barra;NA;-11,0891794000000;-43,14145120000000;NA;63801;0;1;1
1878;Solmona;NA;45,4763242000000;4,38328700000000;NA;66098;0;1;1
1878;Chieti;Chieti;42,3479367000000;14,16364120000000;69022;69022;0;1;1
1878;Lucera;Lucera;41,5087874000000;15,33408330000000;71028;71028;0;1;1
1878;Taranto;Taranto;40,4622052000000;17,26891650000000;73027;75841;0;1;1
1878;Genzano;Genzano di Roma;41,7073216000000;12,68872760000000;58043;76036;0;1;1
1878;Potenza;Potenza;40,6377715000000;15,80550200000000;76063;76063;0;1;1
1878;Montemaggiore Belsito;Montemaggiore Belsito;37,8483496000000;13,76231550000000;82051;82051;0;1;1
1878;Palermo;Palermo;38,1156864000000;13,36146350000000;82053;82053;1;5;6
1878;Messina;Messina;38,1937342000000;15,55420880000000;83048;83048;0;2;2
1878;Casteltermini;Casteltermini;37,5409134000000;13,64330920000000;84012;84012;0;1;1
1878;Racalmuto;Racalmuto;37,4088992000000;13,73270020000000;84029;84029;0;1;1
1878;Caltanissetta;Caltanissetta;37,4900647000000;14,06315760000000;85004;85004;0;1;1
1878;Delia;NA;39,2405520000000;-95,96693500000001;NA;85006;0;1;1
1878;Cagliari;Cagliari;39,2237323000000;9,12171940000000;92009;92026;0;1;1
1889;Acireale (Catania);Acireale;37,6078154000000;15,16669670000000;87004;NA;0;1;1
1889;Alba (Cuneo);Alba;44,7009526000000;8,03534880000000;4003;NA;0;1;1
1889;Albuquerque - Nuovo Messico;NA;35,0843859000000;-106,65042200000001;NA;NA;0;1;1
1889;Alessandria;Alessandria;44,9072727000000;8,61167960000000;6003;NA;0;1;1
1889;Alpignano (Torino);Alpignano;45,0928877000000;7,52364220000000;1008;NA;0;1;1
1889;Altavilla Irpina (Avellino);Altavilla Irpina;41,0050450000000;14,77938310000000;64002;NA;0;2;2
1889;Altena - Westphalia;NA;51,3015239000000;7,67143870000000;NA;NA;0;1;1
1889;Amburgo;NA;53,5488282000000;9,98717030000000;NA;NA;0;1;1
1889;Amsterdam;NA;52,3675734000000;4,90413890000000;NA;NA;0;1;1
1889;Ancona;Ancona;43,6071395000000;13,51017410000000;42002;NA;0;1;1
1889;Arbons;NA;52,6220480000000;1,26218500000000;NA;NA;0;1;1
1889;Arezzo;Arezzo;43,4633082000000;11,87962150000000;51002;NA;0;1;1
1889;Asti;Asti;44,9007650000000;8,20643500000000;5005;NA;0;2;2
1889;Asti (Alessandria);Alessandria;44,9133658000000;8,60733870000000;6003;NA;0;1;1
1889;Bagnoli Irpino (Avellino);Bagnoli Irpino;40,8319986000000;15,06978660000000;64009;NA;0;1;1
1889;Bari;Bari;41,1171432000000;16,87187150000000;72006;NA;1;5;6
1889;Belgioioso (Pavia);Belgioioso;45,1597051000000;9,31402400000000;18013;NA;0;1;1
1889;Belluno;Belluno;46,1416375000000;12,21482610000000;25006;NA;0;1;1
1889;Bene Lario (Como);Bene Lario;46,0289138000000;9,18525470000000;13021;NA;0;1;1
1889;Berlino;NA;52,5200066000000;13,40495400000000;NA;NA;0;6;6
1889;Biella (Novara);Biella;45,5628842000000;8,05833970000000;2012;NA;0;1;1
1889;Birmingham;NA;52,4822694000000;-1,89000780000000;NA;NA;0;1;1
1889;Bologna;Bologna;44,4948870000000;11,34261630000000;37006;NA;0;17;17
1889;Bolzaneto (Genova);Genova;44,4642375000000;8,89418410000000;10025;NA;1;1;2
1889;Bordighera (Porto Maurizio);Bordighera;43,7796022000000;7,67015590000000;8008;NA;0;1;1
1889;Borgomanero (Novara);Borgomanero;45,6988623000000;8,46229250000000;3024;NA;0;1;1
1889;Boston;NA;42,3600825000000;-71,05888010000000;NA;NA;0;1;1
1889;Boufarik;NA;36,5832413000000;2,91212560000000;NA;NA;0;1;1
1889;Brema;NA;53,0792962000000;8,80169370000000;NA;NA;0;1;1
